Word,Clue,Difficulty
SIS,Bro's counterpart,FAIR
PEG,Cribbage marker,FAIR
IOU,"Acknowledgment of debt, in brief",EASY
MAO,China's Long March leader,EASY
ARK,State north of La.,EASY
ELI,Manning who has won multiple Super Bowl M.V.P. awards,EASY
ORE,Refinery material,EASY
KOR,Seoul's home: Abbr.,EASY
OPS,Photo ___ (political events),EASY
SWE,Neighbor of Nor.,FAIR
EVE,Preceding night,EASY
DES,___ Moines Register,EASY
ASI,___ live and breathe!,DIFFICULT
WIT,A lively person may have a sparkling one,EASY
ADD,"Put two and two together, say",EASY
LOT,Parcel of property,EASY
MET,Yankee's crosstown rival,EASY
ASS,Burro,EASY
DEA,Grp. that raids grow houses,EASY
DUH,"That's obvious, stupid!",EASY
ARE,Diamonds ___ Forever,EASY
TOP,Lid,EASY
IDO,Repeated words shouted after Who wants ...?,EASY
EDT,Summer hrs. in D.C.,FAIR
COD,Atlantic food fish,MODERATE
NOT,Forget-me-___,EASY
EAR,Floppy feature of a basset hound,EASY
TIS,"My country, ___ of thee",EASY
EMO,Rock music genre,EASY
AYE,Sailor's affirmative,FAIR
CIV,"104, in old Rome",EASY
ENT,Suffix with absorb,HARD
BRA,Blouse undergarment,EASY
KIX,"Kid-tested, mother-approved cereal",EASY
ICU,Post-op area,FAIR
EOS,Line of Canon cameras,EASY
EAT,Have something!,EASY
EMU,Outback bird,FAIR
SAL,Erie Canal mule,FAIR
ANN,The Beach Boys' Barbara ___,EASY
DVD,Netflix rental,EASY
RCA,Sony rival,EASY
ASH,Cigarette's end,EASY
OPT,"Withdraw, with out",MODERATE
MRT,Muscular actor with a mohawk,EASY
LYE,Chemical in drain cleaners,EASY
PHD,Deg. for a prof,EASY
SHH,Sound heard in a movie theater,EASY
IMO,"If you ask me, in texts",EASY
SOD,Roll of green?,EASY
BUT,Nothing ___ the truth,EASY
TAS,Brits' thank-yous,HARD
CBS,___ News Sunday Morning,EASY
RAG,Dishcloth,FAIR
ALF,1936 candidate Landon,FAIR
WYO,Cheyenne's home: Abbr.,EASY
BAP,Protestant denom.,FAIR
DAD,Annual June honoree,EASY
LEW,"___ Alcindor (Kareem Abdul-Jabbar, once)",EASY
BIG,Gargantuan,EASY
ANG,Taiwanese-born director Lee,EASY
LAX,"West Coast travel hub, informally",EASY
EGO,Lead-in to maniac or surfing,EASY
ARC,Many a line on a flight route map,EASY
PCB,"Banned organic compound, for short",EASY
AAA,Kind of baseball or battery,EASY
GPS,"Satellite-based navigation aid, in brief",EASY
OTO,Plains tribe,EASY
EEO,Fairness-in-hiring inits.,EASY
GAP,Old Navy alternative,EASY
PAR,Course guide?,EASY
NYE,Bill the Science Guy,EASY
WHO,___ Let the Dogs Out,EASY
GPA,4.0 is a great one: Abbr.,EASY
OAF,Dunderhead,EASY
DOE,Jane or John in court,EASY
BEL,___ Paese cheese,MODERATE
DIE,Repeated cry when sticking a stake in a vampire,EASY
GUT,Feel in one's ___,EASY
COW,Mooer,EASY
USO,Troop-entertaining grp.,EASY
SET,"Sink, as the sun",EASY
ADA,Toothpaste-evaluating org.,EASY
JAB,Elbow poke,EASY
LBS,Ozs. and ozs.,FAIR
ORK,Home planet of Mindy's mate in an old sitcom,EASY
KIM,Actress Basinger,EASY
ESL,"Class for newcomers to America, for short",EASY
TUB,Place for a soak,EASY
HEC,1970s TV's ___ Ramsey,EASY
AOL,Tech company spun off from Time Warner,EASY
RAP,Offering from Lil Jon or Fat Joe,EASY
APE,Zoo animal that beats its chest,EASY
JET,MetLife Stadium footballer,EASY
IQS,Figs. for geniuses,EASY
ZIT,Acne spot,EASY
ROC,Arabian Nights bird,FAIR
HUT,Shack,FAIR
CEE,So-so grade,FAIR
COB,Inner part of a corn ear,EASY
UNA,Italian a,EASY
CNN,Where to see Anderson Cooper,EASY
SDS,'60s teach-in organizer: Abbr.,EASY
POD,Pea holder,FAIR
BOA,Flapper's neckwear,EASY
HAL,Prince who became Henry V,EASY
ANY,One or more,MODERATE
HAT,Place for a rabbit in a magic act,EASY
EEG,"Brain wave readout, for short",MODERATE
EEK,Mouse spotter's cry,EASY
VAN,Many an airport shuttle,EASY
STP,Big inits. in fuel additives,EASY
LEM,"Moon landing vehicle, for short",EASY
TDS,QBs pass for them,EASY
TAN,"Treat, as leather",EASY
EPA,Eco-friendly org.,EASY
NOG,Eggy Christmas drink,EASY
ESS,Road curve,EASY
BBS,Air gun ammo,EASY
PUN,So-called lowest form of humor,EASY
DNA,"CSI evidence, often",EASY
REPO,___ Man (Emilio Estevez film),EASY
ASSN,The second A in N.C.A.A.: Abbr.,EASY
AHOY,Cry to a matey,EASY
LARA,___ Croft: Tomb Raider,EASY
SALE,Prices slashed! event,EASY
LASH,Mascara coats it,EASY
LANE,Bowler's assignment,FAIR
CALF,Baby bovine,FAIR
DENT,Fender ding,EASY
ANOS,Years in Mexico,EASY
HANS,Brinker on skates,EASY
CATO,Ancient Rome's ___ the Elder,EASY
SNOB,Better-than-you type,EASY
SLIP,Faux pas,HARD
AMSO,Are not! playground retort,EASY
TORI,"Doughnut shapes, mathematically speaking",EASY
YEAR,Number after a ?? symbol,EASY
WOLF,The Three Little Pigs antagonist,EASY
WOES,Misfortunes,FAIR
WAVE,A surfboard rides it,EASY
OPEC,Oil ministers' grp.,EASY
EXIT,Lighted sign near a stairway,EASY
ACES,They're worth 1 or 11 in blackjack,EASY
LABS,Science class sessions,EASY
SKIN,Dermatologist's study,EASY
WACO,Baylor University's home,EASY
LUNA,Goddess of the moon,EASY
KRIS,Kringle or Kristofferson,EASY
EENY,"___, meeny, miney, mo",EASY
VISA,MasterCard rival,EASY
ETON,James Bond's school,EASY
TALL,Like Dubai's Burj Khalifa,EASY
ASEA,On a cruise,EASY
AMOK,Frenzied,EASY
MEDS,Docs prescribe them,FAIR
AFRO,Bushy do,EASY
JEWS,A majority of Israelis,EASY
DUET,Musical piece for two,EASY
ONTO,Knowledgeable about,EASY
PAID,No longer owed,FAIR
YAYS,Cheers for successes,EASY
SPAM,E-mail that's sent out by the millions,EASY
HILO,Largest city on the island of Hawaii,EASY
CONE,Ice cream treat,EASY
KLEE,Swiss artist Paul,FAIR
RAID,Police action on a gambling ring,EASY
RAIN,"Drizzle, say",EASY
FEAR,Dread,DIFFICULT
HADI,___ but known ...,EASY
OLAN,Wife in The Good Earth,EASY
ROSY,Having a positive outlook,EASY
ATIE,End in ___ (finish evenly),EASY
MAUL,Manhandle horribly,EASY
TERP,U. of Maryland athlete,EASY
LOIN,Cut of meat,EASY
ITLL,___ cost you!,FAIR
BONO,Pro ___ (how some law work is done),EASY
SYNC,In ___ (harmonious),MODERATE
LOCH,___ Ness monster,EASY
BRAN,Raisin ___,FAIR
LIRR,Train line to Penn Sta.,EASY
VIDA,"___ Blue, 1971 Cy Young Award winner",EASY
IDOL,Winner of a Fox talent show beginning in 2002,EASY
HOOF,Part of a horse that's shod,EASY
HOLY,___ Bible,EASY
ALOE,Soothing juice,EASY
ERIN,Leprechaun land,EASY
DYES,"Goes from blonde to brunette, say",EASY
YARN,Knitter's ball,EASY
HASP,Lock fastener,EASY
SPCA,Org. that shelters dogs and cats,EASY
EGGS,Chicks hatch from them,EASY
ELEC,The E of G.E.: Abbr.,EASY
TILE,Mah-jongg piece,FAIR
PADS,Small notebooks,EASY
TART,Tasting like unripe apples,EASY
ATMS,$20 bill dispensers,EASY
BEND,Show flexibility,EASY
THEM,It's us against ___,FAIR
RYAN,Actor Gosling,EASY
BIER,Coffin holder,EASY
SETH,Rogen of Superbad,EASY
OATS,Cheerios are made with them,EASY
EMIR,Ruler of Kuwait,EASY
BEST,Second to none,EASY
DRAG,Pull along,EASY
SLUR,Speak drunkenly,EASY
POPS,Boston ___ (orchestra),EASY
GOLF,Sport that's been called a good walk spoiled,EASY
TORO,Spanish bull,EASY
RAKE,Do a fall chore,EASY
GENT,"Mannerly man, briefly",EASY
ACTV,When Hamlet dies,EASY
SOME,Amount between none and all,EASY
TREK,"Long, hard journey",EASY
OREG,State north of Calif.,EASY
LISP,Speak like Sylvester,MODERATE
ODIE,Dog often messed with by Garfield,EASY
NEED,More than want,EASY
CABS,They're often yellow or checkered,EASY
LIEN,Legal claim,FAIR
ESAU,Jacob's brother,FAIR
IRAN,"Persia, today",MODERATE
MEMO,Note at the office,EASY
BOOP,Flirty toon Betty ___,EASY
OVID,"Roman poet who wrote To be loved, be lovable",EASY
SEAM,Line of stitches,EASY
NAAN,Chicken tikka go-with,EASY
POSE,Sit for a painting,EASY
RVER,"Cross-country camper, for short",EASY
WUSS,Scaredy-cat,EASY
DONT,Word before know and care,EASY
ONES,Low bills,EASY
MILD,Not very spicy,EASY
ROOM,One of nine on a Clue board,EASY
TIER,Wedding cake feature,MODERATE
LIMB,Bough,FAIR
POSY,Small bouquet,EASY
FELT,Craps table surface,EASY
ASOF,Dating from,FAIR
TRIG,Calc prerequisite,EASY
IDIG,"Loud and clear, bro",EASY
KIND,Ilk,EASY
TEAL,Freshwater duck,MODERATE
PONG,Ping-___,MODERATE
FILM,Annie or Annie Hall,EASY
LENT,Gave temporarily,EASY
IBET,Skeptic's rejoinder,EASY
KENT,"Clark ___, Superman's alter ego",EASY
MOON,Apollo 11's destination,EASY
TIKI,___ torch (outdoor party lighting),EASY
BERN,Capital of Switzerland,EASY
EDGY,"A little out there, as humor",EASY
TAXI,Cab,EASY
TALC,Soft powder,EASY
SUCH,___ as it is,EASY
ICON,Clickable computer image,EASY
LOAN,The L in S.&L.,EASY
ZANE,Grey who wrote about the Old West,EASY
SAGO,Starch from a tropical palm,EASY
ACDC,High-voltage Australian band?,EASY
LOWE,Actor Rob of The West Wing,EASY
SCAR,Battle reminder,EASY
DRNO,James Bond's film debut,EASY
HOPE,Optimist's feeling,EASY
LION,Leo's symbol,EASY
GODS,Ye ___!,EASY
TMAN,"I.R.S. agent, e.g., informally",EASY
SEGA,Company whose mascot is Sonic the Hedgehog,EASY
MEET,Encounter,MODERATE
PETE,Rose of the diamond,EASY
HDTV,Sharp product from Sharp,EASY
ORAL,___ contraceptive,EASY
POOR,Destitute,EASY
OTIS,Redding who sang The Dock of the Bay,EASY
KAHN,Actress Madeline of Blazing Saddles,EASY
TIVO,What may give pause to couch potatoes?,EASY
TEST,Examination,EASY
ANTE,Initial stake,EASY
DOOR,Let's Make a Deal choice,HARD
TROT,Gait not as fast as a canter,EASY
MEAL,Brunch or dinner,EASY
WHAT,The second of the five W's,EASY
YWCA,Intl. feminine group,EASY
LACE,Fabric that doesn't block much light,EASY
LIAR,"Pinocchio, at times",FAIR
DEAR,Beloved,EASY
HAGS,Long-haired uglies,EASY
ATNO,Zinc's is 30: Abbr.,EASY
MERC,"Bygone Ford car, informally",EASY
ILES,Parts of a French archipelago,EASY
NILE,Cleopatra's river,EASY
DIMS,Makes less bright,EASY
LORD,Title for Byron or Baltimore,EASY
DEBS,Girls with coming-out parties,EASY
LIMP,Walk with a hitch,EASY
LINT,Fluffy stuff caught in the dryer,EASY
YUKS,Laughs over some unsophisticated humor,EASY
APPS,Downloads for tablets,EASY
PROP,Stagehand's responsibility,EASY
OBOE,Bassoon relative,FAIR
WORN,Showing signs of use,EASY
NEST,It might be out on a limb,EASY
DAWG,Deputy ___ (toon),EASY
IRIS,Purple spring bloomer,EASY
INEZ,Deadly 1966 hurricane with a Spanish-derived name,EASY
AMOO,"Words after here, there and everywhere in Old MacDonald Had a Farm",EASY
ELHI,For grades 1-12,EASY
DIRE,Emergency-related,EASY
MOOG,Synthesizer designer Robert,FAIR
KNEE,Place for a football pad,FAIR
ITRY,Modest response to praise,EASY
CHEX,"Follower of Corn, Rice and Wheat in cereal names",EASY
SIZE,"Evaluate, with up",EASY
AGOG,Awestruck,HARD
TOGA,Gladiator garment,EASY
PINE,Yearn (for),FAIR
URNS,Caterer's coffee containers,EASY
JAMS,Photocopier malfunctions,EASY
ASPS,Venomous vipers,EASY
SWAT,"Whack, as a fly",EASY
HERR,Frau's spouse,EASY
JOHN,"Adams, Tyler or Kennedy",EASY
HYPE,Ballyhoo,MODERATE
MOAB,Biblical kingdom east of the Dead Sea,EASY
CLEO,Royal role for Liz Taylor,EASY
SANK,Plummeted,EASY
FUME,Be furious,EASY
ATOE,Stick ___ in the water,EASY
TING,Little bell sound,EASY
NOON,Midday,EASY
CLOY,Fill to excess,FAIR
DECO,Art ___ (1920s-'30s movement),EASY
EXES,Ones giving or receiving alimony,EASY
LIRE,Bygone Italian coins,EASY
UKES,"Hawaiian strings, informally",EASY
PECK,Eat like a bird,EASY
IGOR,Lab assistant in a horror film,EASY
BAIT,"Can of worms, say",EASY
YVES,Designer ___ Saint Laurent,EASY
PURE,Chaste,EASY
BRIE,Cheese popular with crackers,EASY
BASK,Take in some sun,EASY
TRIB,"Chicago daily, briefly, with the",EASY
ORBS,Heavenly bodies,EASY
DOUR,Sullen,FAIR
OKLA,Tulsa's home: Abbr.,EASY
SENT,Dispatched,FAIR
TREE,Focus for an arborist,EASY
PEAT,___ moss,FAIR
DREW,"Did cartoons, e.g.",EASY
RUTH,Hitter of 714 home runs,EASY
DOPE,"Extraordinary, in slang",EASY
IKEA,European-based furniture giant,EASY
SLAV,Bulgarian or Czech,EASY
DOTE,Focus lovingly (on),EASY
AGHA,Ottoman official,EASY
ROLL,Go round and round,EASY
EIRE,What Dubliners call their homeland,EASY
RASP,"Speak with laryngitis, say",EASY
BROS,Homies,EASY
ENYA,"Grammy winner from County Donegal, Ireland",EASY
RAFT,"Craft in which to go down a river, say",EASY
ASIA,Where the Himalayas are,EASY
EVEN,"Tied, as a score",EASY
ZAPS,Nukes,FAIR
RUTS,Monotonous routines,EASY
SIMP,Lamebrain,EASY
EURO,"Replacement for the mark, franc and lira",EASY
CASE,___ closed!,EASY
TREX,"Big-jawed dinosaur, for short",EASY
ACTS,Each of Shakespeare's plays has five,EASY
LAIR,Where a lion hides,EASY
NATS,"D.C. team, informally",EASY
CELT,"Hibernian, for one",EASY
ENTS,Tolkien's talking tree race,EASY
CATS,Lions and tigers,FAIR
DORA,Nickelodeon's ___ the Explorer,MODERATE
ETCH,"Carve into, as a plaque",EASY
SARI,Indian woman's attire,EASY
PERP,"Suspect, in cop lingo",EASY
LOLA,1970 Kinks hit,DIFFICULT
ECHO,Sound heard in an empty hallway,EASY
GOVT,Political science subj.,EASY
STAY,Not go,EASY
CANA,Biblical water-to-wine locale,EASY
RHEA,Flightless bird of South America,EASY
NOOK,Cozy dining spot,EASY
HULA,___ Hoop,EASY
PRAT,Rear end,FAIR
OARS,Rowers,EASY
CLOG,Drain cleaner target,EASY
DAZE,Flabbergasted state,EASY
TASK,Chore,FAIR
TASE,Zap with a stun gun,EASY
JUDD,Knocked Up director Apatow,EASY
VETO,Presidential rejection,EASY
SOPH,10th grader: Abbr.,EASY
ONIT,I'm ___!,HARD
ERIE,Great Lake between Huron and Ontario,EASY
TUBA,Heavy instrument to march with,EASY
WILT,"Lose freshness, as a flower",EASY
APIE,... blackbirds baked in ___,FAIR
BASS,Largemouth fish,EASY
XENA,TV's warrior princess,EASY
LOEB,"Richard ___, Clarence Darrow defendant",EASY
GIZA,Egyptian pyramid city,EASY
TSAR,Old Russian despot,EASY
RIOT,Hilarious one,EASY
DIEM,Carpe ___,EASY
GAIT,Walk or trot,EASY
BALE,Barn dance seat,EASY
ANTS,Tiny hill dwellers,EASY
MGMT,C.E.O.'s job: Abbr.,EASY
PEAS,Black-eyed ___,EASY
YEOW,"Cry after hitting a hammer on one's thumb, say",EASY
EVIL,Dastardly,EASY
COHN,McCarthy-era attorney Roy,FAIR
ANDY,Amos 'n' ___,EASY
SCOW,Garbage boat,MODERATE
INCH,1/12 of a ruler,EASY
OTOE,Nebraska tribe,EASY
NOBS,Wealthy Brits,EASY
WAIL,Lament loudly,EASY
FOLK,Common people,EASY
CHUB,Common bait fish,EASY
REDS,Cherry and ruby,EASY
ODDS,Bookies give them,EASY
MIAS,Unaccounted-for G.I.'s,FAIR
KOLN,German cathedral city,FAIR
SAES,Mailing encls.,EASY
GEES,Pop music's Bee ___,EASY
LOGO,"Golden arches for McDonald's, e.g.",EASY
ILSA,___ Lund of Casablanca,MODERATE
NATL,Mets' league: Abbr.,EASY
SPYS,1974 Sutherland/Gould spoof,HARD
IMSO,___ sorry,EASY
AMFM,Radio switch,FAIR
RIDE,Tilt-A-Whirl or bumper cars,EASY
LAVA,Volcano output,EASY
LIRAS,Bygone Italian coins,EASY
DREAR,"Gloomy, to a bard",EASY
TORSO,Human trunk,EASY
STYES,Eyelid inflammations,FAIR
ADEAR,Please be ___ and help me,EASY
EATEN,All gone from one's plate,EASY
SNIDE,"Not nice, as a comment",EASY
ANDES,Peaks of Peru,EASY
HIREE,One just put on the payroll,EASY
NORSE,Like Odin and Thor,EASY
EFILE,Submit a tax return via computer,EASY
ASKTO,Send an invitation for,EASY
SPLIT,Remaining 7 and 10 pins in bowling,EASY
SNERD,Mortimer voiced by Edgar Bergen,EASY
IRISH,Notre Dame's Fighting ___,EASY
NIKES,Shoes with swooshes,EASY
DROPS,Plummets,EASY
EDGER,Lawn trimmer,EASY
COHAN,"George M. ___, The Yankee Doodle Boy composer",EASY
OUTRE,Unconventional and then some,EASY
EMERY,Manicurist's file,FAIR
REESE,Pee Wee of the 1940s-'50s Dodgers,EASY
NOHIT,Like a pitcher's perfect game,FAIR
LISLE,Smooth cotton fabric,EASY
ETHER,Air up there,EASY
STROH,Old Detroit brewery name,EASY
ELIHU,Statesman Root,MODERATE
REPEL,Turn away,EASY
QATAR,Doha is its capital,EASY
DOZED,Slept lightly,EASY
ERICS,Rockers Clapton and Burdon,EASY
SPAIN,Barcelona's land,EASY
ISAAC,Nearly sacrificed son of Abraham,EASY
SCROD,"Catch of the day, say, in New England",EASY
BERET,French cap,EASY
SPECK,Particle,HARD
AXLES,Car rods,EASY
ETHIC,Moral standard,FAIR
DISCS,"The chocolate parts of Oreos, e.g.",EASY
OLDER,Like a big brother,FAIR
PILOT,Aviator,EASY
FACTS,"Statistics, e.g.",EASY
AFLAT,Black key above G,EASY
DRACO,Northern constellation,EASY
ISLES,Capri and Wight,EASY
TANGO,It takes two to do this,EASY
SKIER,T-bar rider,EASY
AUDIO,Television input jack,EASY
BRINK,Edge,EASY
MALTA,Mediterranean island country,EASY
NONET,Composition for nine musicians,EASY
NOCAL,Like some diet drinks,EASY
LIETO,Be untruthful with,EASY
STRAY,Veer off the beaten path,EASY
UNION,The U in E.U.,EASY
LSATS,Exams for would-be attys.,EASY
WICCA,Pagan nature religion,EASY
ETHAN,Revolutionary Allen,FAIR
RINDS,Outsides of melons,EASY
PEONY,Spring bloom,HARD
FEUDS,Prolonged hostilities,EASY
TITLE,Info in a library search request,EASY
MOORS,Heaths,EASY
SNUBS,Social slights,EASY
ANIME,Japanese cartoons,FAIR
SPEND,Buy things,EASY
PLIES,Layers of wood,EASY
CELLO,Rostropovich's instrument,FAIR
ULNAS,Wrist/elbow connectors,EASY
SPREE,Shopper's wild outing,EASY
LATER,Procrastinator's word,EASY
ODEON,Old-fashioned music hall,FAIR
RHINO,"Safari animal, informally",EASY
ERASE,"Remove, as pencil marks",EASY
LORNA,___ Doone cookies,EASY
ZLOTY,Ruble : Russia :: ___ : Poland,EASY
KIWIS,"New Zealanders, informally",EASY
ABOVO,"From the beginning, in Latin",EASY
EDGAR,Mystery writer's award,MODERATE
GINSU,Infomercial knife,EASY
SOOEY,"Here, piggy piggy piggy!",EASY
BEGUN,Commenced,FAIR
CZECH,Prague native,EASY
EASEL,Painter's stand,FAIR
HOHUM,Yawn-inducing,EASY
ELIOT,J. Alfred Prufrock's creator T. S. ___,EASY
XEROX,"Office copy, say",EASY
EBOOK,Digital publication,EASY
RAMEN,Japanese noodle soup,EASY
RADIO,News and music source,EASY
ROSIE,First name in TV talk,HARD
ITSOK,Don't worry about that,EASY
ERODE,"Wash away, as a bank",EASY
ONYOU,I'm keeping my eye ___!,EASY
RUING,Regretting,EASY
MANIA,Fan frenzy,EASY
MONDO,"World, in Italian",EASY
SWOON,Show of overwhelming love,EASY
BOMBS,Things bursting in air,EASY
ORAMA,Commercial suffix akin to a go-go,EASY
TIARA,Pageant headgear,EASY
SWEEP,"Four straight wins to start the World Series, e.g.",EASY
VOIDS,Renders null,EASY
DEEPS,Areas explored by submarines,EASY
NORMA,___ Rae (Sally Field film),EASY
ENRON,Energy giant that filed for bankruptcy in 2001,EASY
PIPPI,___ Longstocking (children's story character),EASY
OCHER,Autumn hue,EASY
HOBBY,Model building or stamp collecting,EASY
SOAKS,Good long baths,EASY
ATEIT,"Suffered ignominious failure, in slang",EASY
ANGRY,Wrathful,EASY
YESNO,Simple kind of question,EASY
GIMLI,Dwarves' representative in the Fellowship of the Ring,EASY
GUNIT,Hit the accelerator,EASY
ARRAY,"Table of data, e.g.",EASY
SABER,Cavalry sword,MODERATE
AVERT,"Stave off, as a disaster",EASY
ARESO,You ___ stupid!,EASY
WAKEN,Arouse from sleep,EASY
NERDS,"Study, study, study types",EASY
IGIVE,Just tell me the answer,EASY
LIENS,Property claims,FAIR
TRAPS,Pitfalls,FAIR
BUNDT,Kind of cake that's ring-shaped,EASY
POETS,Keats and Shelley,EASY
AGREE,Be in harmony,MODERATE
UNDUE,Lacking justification,EASY
RELAX,Veg out,EASY
TONGS,Ice-grabbing tool,EASY
ONION,Cutting one may bring tears to your eyes,EASY
RUNIN,Quarrel,HARD
STAGE,Wild West transport,MODERATE
NINAS,Guadalajara girls,EASY
VAULT,Place for gold to be stored,EASY
TUNIS,Africa's northernmost capital,EASY
GREEK,"From Athens, say",EASY
MIAMI,___ Vice,EASY
TOTEM,Image on an Indian pole,EASY
SERUM,Clear part of blood,EASY
SCHWA,Either the first or last vowel sound in Alaska,EASY
STUMP,Tree remnant,EASY
THREE,Number of little pigs or blind mice,EASY
ZAIRE,"Congo, from 1971 to 1997",EASY
BENET,Author Stephen Vincent ___,EASY
SALVO,Blast from the side of a warship,EASY
PROOF,Homework problem in geometry,EASY
BRUNO,Sacha Baron Cohen alter ego,EASY
ELSOL,Spanish-language newspaper that brings light to its readers,EASY
RUNIC,Ancient kind of alphabet,EASY
VASES,Bouquet holders,EASY
INTEL,"Spy's knowledge, informally",EASY
GALAS,Fancy affairs,EASY
PETRI,___ dish (lab holder),EASY
ELMAN,Violinist Mischa,MODERATE
ITEMS,10 ___ or less (supermarket checkout sign),EASY
RAWER,"Colder and wetter, as weather",EASY
GLOSS,Lip ___,EASY
KNEEL,"Prepare to propose, perhaps",EASY
MARKS,A- and C+,EASY
PRIES,Meddles,EASY
BOYLE,2009 British singing sensation Susan,EASY
ASHES,Smokers' residue,EASY
MAIDS,Eight milkers in The 12 Days of Christmas,EASY
UNLIT,Pitch-dark,EASY
IMPLY,Suggest,EASY
ERNST,German Surrealist Max,EASY
SIGMA,Greek S,EASY
SPORT,Athlete's pursuit,EASY
LETHE,River through Hades,EASY
IMPEI,Architect for the Louvre pyramid,EASY
WELSH,Like names starting Ff-,EASY
DOLLS,Ken and Barbie,EASY
BSIDE,Other half of a hit 45,EASY
SHRED,Tear to pieces,EASY
ABZUG,Former congresswoman Bella,EASY
DEIST,Certain believer,EASY
BOISE,Capital of Idaho,EASY
NIELS,Quantum mechanics pioneer Bohr,EASY
SHRUG,Shoulder gesture,EASY
GELID,Icy cold,EASY
SIEGE,"Long, drawn-out attack",EASY
HINDU,"Gandhi, e.g., religiously",EASY
LEERY,Rather distrustful,EASY
NEPAL,Country with Mount Everest on its border,EASY
SAUDI,Riyadh native,EASY
HELOT,Serf,HARD
DIODE,Electron tube,HARD
NTEST,"Mushroom cloud creator, briefly",FAIR
DITTO,Me too,EASY
NAIVE,Artless,EASY
TWEED,Like some preppy jackets,EASY
PLAIN,Bare-bones,EASY
RANDS,Writer Ayn and others,EASY
BETTE,Singer/actress Midler,EASY
ONRED,"No turn may be allowed then, according to a sign",EASY
PRANK,Shenanigan,EASY
BEAUS,Boyfriends,FAIR
BONED,Like chicken breast cutlets,EASY
ROANS,Reddish/white horses,EASY
ANISE,Biscotti flavoring,EASY
YARNS,Tall tales,EASY
BLISS,Seventh heaven,FAIR
APACE,Rapidly,EASY
VINYL,Old LPs and 45s,EASY
